claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R1-001,meta_review_f1_verification_buckets,9,verification buckets,external-fact,asserts-own,F1,7,"""Across 9 verification buckets, 73 claims were adjudicated"""
R1-002,meta_review_f1_claims_adjudicated,73,claims adjudicated,external-fact,asserts-own,F1,7,"""Across 9 verification buckets, 73 claims were adjudicated"""
R1-003,meta_review_f1_claims_confirmed,62,claims CONFIRMED,external-fact,asserts-own,F1,11,"""CONFIRMED / 62"" (verdict table)"
R1-004,meta_review_f1_claims_discrepant,4,claims DISCREPANT,external-fact,asserts-own,F1,12,"""DISCREPANT / 4"" (verdict table)"
R1-005,meta_review_f1_claims_unverifiable,7,claims UNVERIFIABLE,external-fact,asserts-own,F1,13,"""UNVERIFIABLE / 7"" (verdict table)"
R1-006,meta_review_f1_campaign_rows_verified,6/6,campaign-table rows verified,external-fact,asserts-own,F1,15,"""the campaign table (6/6)"""
R1-007,run_opus_kmax,22,K-distribution rows,deterministic,quotes-paper,F1,15,"""the full 22-row K-distribution (8/8, line-for-line)"""
R1-008,meta_review_f1_kdist_checks,8/8,K-distribution checks passed,external-fact,asserts-own,F1,15,"""the full 22-row K-distribution (8/8, line-for-line)"""
R1-009,meta_review_f1_direct_vs_son_checks,6/6,Direct-vs-SON checks passed,external-fact,asserts-own,F1,15,"""the Direct-vs-SON comparison (6/6)"""
R1-010,vocab_v1_pfam,247,Pfam items (v1 Table 1),deterministic,disputes,F1,15,"""The old fabricated v1 Table 1 (247/752/3) has been corrected"""
R1-011,vocab_v1_go,752,GO items (v1 Table 1),deterministic,disputes,F1,15,"""The old fabricated v1 Table 1 (247/752/3) has been corrected"""
R1-012,vocab_v1_plddt,3,pLDDT items (v1 Table 1),deterministic,disputes,F1,15,"""The old fabricated v1 Table 1 (247/752/3) has been corrected"""
R1-013,vocab_pfam_defined,500,Pfam items (verified),method-parameter,asserts-own,F1,15,"""corrected to the verified 500/500/6 = 1,006 ground truth"""
R1-014,vocab_go_defined,500,GO items (verified),method-parameter,asserts-own,F1,15,"""corrected to the verified 500/500/6 = 1,006 ground truth"""
R1-015,vocab_plddt_defined,6,pLDDT bins (verified),method-parameter,asserts-own,F1,15,"""corrected to the verified 500/500/6 = 1,006 ground truth"""
R1-016,vocab_items_defined,"1,006",total items,deterministic,asserts-own,F1,15,"""corrected to the verified 500/500/6 = 1,006 ground truth"""
R1-017,run_opus_min_count,>=8,"proteins (feature-retention cutoff, paper wording)",method-parameter,disputes,F1,19,"""'retained all features occurring in at least 8 proteins' does not describe how the vocabulary was built"""
R1-018,vocab_pfam_defined,500,top-N Pfam frequency cap,method-parameter,asserts-own,F1,19,"""the vocabulary is a top-500-Pfam + top-500-GO frequency cap"""
R1-019,vocab_go_defined,500,top-N GO frequency cap,method-parameter,asserts-own,F1,19,"""the vocabulary is a top-500-Pfam + top-500-GO frequency cap"""
R1-020,dataset_pfam_families_observed,"24,291",unique Pfam terms,deterministic,asserts-own,F1,19,"""out of 24,291 / 25,993 unique terms"""
R1-021,dataset_go_families_observed,"25,993",unique GO terms,deterministic,asserts-own,F1,19,"""out of 24,291 / 25,993 unique terms"""
R1-022,run_opus_min_count,>=8,mining min-support (proteins),method-parameter,asserts-own,F1,19,"""the '>=8' is the mining min-support, a different quantity"""
R1-023,csr_vs_dense_full_ratio,40x,memory reduction (dense to CSR),deterministic,disputes,F1,20,"""Inflated 40x memory-reduction claim (lines 167, 402)"""
R1-024,csr_bytes_gb,5.1,GB (CSR),deterministic,quotes-paper,F1,20,"""the 5.1 GB CSR is the 76.9M mined subset"""
R1-025,dataset_multi_feature,76.9M,proteins (mined subset),deterministic,asserts-own,F1,20,"""the 5.1 GB CSR is the 76.9M mined subset"""
R1-026,dense_gb,206,GB (dense),deterministic,quotes-paper,F1,20,"""the 206 GB dense is the 205.6M full set"""
R1-027,dataset_plddt_pass,205.6M,proteins (full set),deterministic,asserts-own,F1,20,"""the 206 GB dense is the 205.6M full set"""
R1-028,csr_vs_dense_subset_ratio,~15x,memory reduction (same dataset),deterministic,asserts-own,F1,20,"""Within one dataset the reduction is ~15x, not 40x"""
R1-029,k22_support,8,proteins (K=22 accessions),deterministic,quotes-paper,F1,21,"""the paper says the 8 K=22 accessions 'can be recovered by querying the source transaction data'"""
R1-030,run_opus_kmax,22,K (deepest itemset),deterministic,quotes-paper,F1,21,"""the paper says the 8 K=22 accessions 'can be recovered'"""
R1-031,null_p_bound_kge7,<0.45,p (upper bound),deterministic,quotes-paper,F1,22,"""the p<0.45 bound is the exact one-sided binomial 95% bound"""
R1-032,null_p_bound_confidence_pct,95%,one-sided confidence level,method-parameter,asserts-own,F1,22,"""the exact one-sided binomial 95% bound (1-0.05^(1/5)=0.451)"""
R1-033,null_p_bound_kge7,1-0.05^(1/5)=0.451,exact binomial bound,deterministic,asserts-own,F1,22,"""the exact one-sided binomial 95% bound (1-0.05^(1/5)=0.451)"""
R1-034,null_p_bound_rule_of_three,3/5=0.60,rule-of-three bound,deterministic,asserts-own,F1,22,"""'the rule of three,' which actually gives 3/5=0.60"""
R1-035,run_minc4_min_count,4,min_count (verification run),method-parameter,disputes,F1,24,"""unbacked min_count=4 claim"""
R1-036,run_opus_min_count,>=8,support cutoff (heading),method-parameter,disputes,F1,30,"""D1 - Vocabulary construction misdescribed as an >=8-support cutoff"""
R1-037,run_opus_min_count,>=8,proteins (feature retention),method-parameter,quotes-paper,F1,31,"""We retained all features occurring in at least 8 proteins (the lowest support threshold used)."""
R1-038,dataset_pfam_families_observed,24291,unique Pfam,deterministic,asserts-own,F1,32,"""24291 unique Pfam, 25993 unique GO from 205620298 proteins"""
R1-039,dataset_go_families_observed,25993,unique GO,deterministic,asserts-own,F1,32,"""24291 unique Pfam, 25993 unique GO from 205620298 proteins"""
R1-040,dataset_plddt_pass,205620298,proteins,deterministic,asserts-own,F1,32,"""24291 unique Pfam, 25993 unique GO from 205620298 proteins"""
R1-041,vocab_plddt_defined,6,pLDDT items,method-parameter,asserts-own,F1,32,"""Item encoding: 6 pLDDT + 500 Pfam + 500 GO = 1006 total items"""
R1-042,vocab_pfam_defined,500,Pfam items,method-parameter,asserts-own,F1,32,"""Item encoding: 6 pLDDT + 500 Pfam + 500 GO = 1006 total items"""
R1-043,vocab_go_defined,500,GO items,method-parameter,asserts-own,F1,32,"""Item encoding: 6 pLDDT + 500 Pfam + 500 GO = 1006 total items"""
R1-044,vocab_items_defined,1006,total items,deterministic,asserts-own,F1,32,"""Item encoding: 6 pLDDT + 500 Pfam + 500 GO = 1006 total items"""
R1-045,vocab_pfam_defined,top-500,per-type frequency cap,method-parameter,asserts-own,F1,32,"""The vocabulary is a top-500-per-type frequency cap, not a >=8-support retention"""
R1-046,run_opus_min_count,>=8,mining min_count,method-parameter,asserts-own,F1,32,"""The '>=8' is the mining min_count (godmode_mining.log:2), a separate quantity"""
R1-047,dataset_plddt_pass,205.6M,proteins,deterministic,asserts-own,F1,33,"""At 205.6M proteins, vastly more than 500 Pfam/GO families occur in >=8 proteins"""
R1-048,dataset_pfam_go_families_ge8,>500,Pfam/GO families occurring in >=8 proteins,deterministic,asserts-own,F1,33,"""vastly more than 500 Pfam/GO families occur in >=8 proteins"""
R1-049,run_opus_min_count,>=8,proteins,method-parameter,asserts-own,F1,33,"""vastly more than 500 Pfam/GO families occur in >=8 proteins"""
R1-050,csr_vs_dense_full_ratio,40x,reduction (heading),deterministic,disputes,F1,36,"""D2 - '40x reduction' conflates two different datasets"""
R1-051,csr_nnz,316 million,non-zero entries,deterministic,quotes-paper,F1,37,"""316 million non-zero entries occupying ~5.1 GB ... a 40x reduction from the ~206 GB naive dense"""
R1-052,csr_bytes_gb,~5.1,GB (coordinate format),deterministic,quotes-paper,F1,37,"""316 million non-zero entries occupying ~5.1 GB"""
R1-053,csr_vs_dense_full_ratio,40x,reduction,deterministic,disputes,F1,37,"""a 40x reduction from the ~206 GB naive dense representation"""
R1-054,dense_gb,~206,GB (naive dense),deterministic,quotes-paper,F1,37,"""a 40x reduction from the ~206 GB naive dense representation"""
R1-055,csr_nnz,"316,421,093",non-zeros,deterministic,asserts-own,F1,38,"""ties the 316,421,093 non-zeros / 5.1 GB CSR to the 76,890,945-transaction subset"""
