qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
misc_manuscript_date,external-fact,date,Manuscript date in the front matter (March 2026).,March 2026,83,external
dataset_metadata_rows,external-fact,proteins,"Size of the AlphaFold-DB/UniProt protein universe as stated by the paper ('over 200 million', '214 million', '214M', 'hundreds of millions'); reproduction target = row count of the metadata table (214,683,829 expected). Variants are rounding/rhetoric only, not conflicting.",>200 million / hundreds of millions / 214 million / 214M,91;101;103;129;878;885,rerun
dense_gb,deterministic,GB,"One-byte-per-boolean dense matrix of the full processed set (205.6M x 1,002 B ~ 206 GB; '>200' is a rounded variant).",>200 / ~206 / 206,91;105;120;167;402,derived
vocab_items_frequent,deterministic,items,"Items passing the mining support threshold (1,002 = 500 Pfam + 500 GO + 2 pLDDT bins); also |F1|, the K=1 count and the bitvector column count.","1,002",91;105;115;134;146;171;425;496;885,rerun
dataset_multi_feature,deterministic,proteins,"Proteins with more than one vocabulary feature = the transaction set actually mined (76,890,945; '76.9M'/'76.9 million' are rounded variants).","76.9 million / 76.9M / 76,890,945",91;115;120;152;167;425;440;446;843;878;888,rerun
run_opus_time_min,hardware-dependent,min,Wall-clock mining time of the Opus run in minutes (headline 'mining only' time).,7.3,91;120;129;230;425;496,hardware
hw_gpu_model,hardware-dependent,GPU model,GPU used for all experiments: NVIDIA H100 80 GB SXM5. Rows phrased '(single/1 x) H100' are keyed here; bare 'single GPU' statements are hw_gpu_count.,1 × NVIDIA H100 / NVIDIA H100 SXM5 / 1 × H100 (same) / 1× H100 / 1 × H100,91;120;213;216;362;425;446;496,setup
run_opus_itemsets,deterministic,itemsets,Frequent itemsets found by the Opus run. '26.8 million'/'26.8M'/'millions' are rounded variants.,"26.8 million / 26,849,505 / 26.8M / millions",91;230;254;259;474,rerun
run_opus_kmax,deterministic,K,"Maximum itemset length reached by the Opus run. Also cited as the number of K-levels/iterations (l.402, l.813), the K of the single deepest itemset, and 'deeper than any prior GPU FIM result'.",22,91;230;286;289;393;402;411;425;456;460;476;496;813,rerun
null_z_min_k4to6,deterministic,"Z (t-statistic, 4 df)","Headline: min(null_k4_z, null_k5_z, null_k6_z) > 3,700 (table values +3,791 / +7,402 / +71,728).",">3,700",91;498,derived
